Mois;Injections nettes RPT Nucléaire (MWh);Injections nettes RPT Thermique à combustible fossile (MWh);Injections nettes RPT  Hydraulique (MWh);Injections nettes RPT  Eolien (MWh);Injections nettes RPT  Solaire (MWh);Injections nettes RPT  Bioénergies (MWh);Injections nettes RPT  NA (MWh);Injections nettes RPT  NR (MWh);Soutirages nettes RPD (MWh);Soutirages bruts des clients directs (MWh);Energie soutirée par le pompage (MWh);Solde des échanges physiques (MWh);Energie soutirée par le stockage (MWh);Pertes sur le réseau de RTE (MWh)
2020-09;21739624.138333;2506522.348999;3103274.773322;167197.424666;90274.514;106016.729333;1099069.543663;-23.402;22232232.096832;4885110.98733;425619.424;-551946.689;0.0;1820940.251153993
2020-08;22875852.133;2198918.016999;3428893.871822;162268.574998;112259.454;110420.500833;1042023.298837;0.0;21484452.077981;4536951.969679;402924.553667;1741160.65;0.0;1765146.599161984
2020-07;22498470.65383;2275526.493334;4250765.768171;166474.516;127220.024;119339.852;1040373.871499;-7.558;22323683.927338;4847771.749837;252479.687333;1300682.3170000003;0.0;1753545.939326023
2020-06;21334596.445834;2091709.01967;5786483.141002;158442.559664;113058.194;110200.551003;1118563.830831;502.553;20527599.683843;4550313.053338;409703.140667;3321284.189;0.0;1904656.228155996
2020-05;24714613.244836;920658.696335;5981521.543666;197054.048334;121402.644;108264.830667;1557632.993618;-89.354;19771542.524208;4442205.489996;614049.82;6392945.236;0.0;2380315.577251961
2020-04;26823039.148328;278152.718335;4518722.741834;160214.124;100759.474;112897.135664;1243252.614997;-332.866;21066661.889058;3810115.824662;565113.637;5692342.025999999;0.0;2102471.714438032
2020-03;30623833.102496;1787590.796999;6596048.667669;293529.921168;77859.555;129129.978832;2221049.873161;54681.665;27695077.339193;4338082.377839;556705.840333;5992316.489999999;0.0;3201541.51295999
2020-02;33177686.259498;2002888.579501;5673543.16933;362890.312168;52170.791;111465.628333;2904789.398002;-1099.8809999999999;28034673.62807;4723194.356998;681078.623667;6749906.754000001;0.0;4095480.89409695
2020-01;37351314.809338;3447985.777998;5689224.277831;267092.921832;33775.823;121363.115667;1686629.582662;-1288.1609999999996;35718472.730293;4904761.599329;526896.250333;4516603.987000002;0.0;2929363.580372968
2019-12;32984750.620501;2532058.169338;7123656.166713;307453.262502;28300.68;109891.493332;2150881.086831;10302.976;33063450.690602;4462290.110503;717026.965667;3569053.8269999996;0.0;3435472.861445034
2019-11;29133620.008001;3869941.520505;5834652.252144;232426.318165;28330.345;103340.139167;1405274.53567;49620.845;31261128.489615;4957920.200003;602061.583333;1387874.6069999998;0.0;2448221.083700964
2019-10;29162874.816835;2756415.544666;3468505.895994;239059.982168;56221.821;97738.323835;1559119.743829;1302.3240000000003;24743867.159198;5336357.306666;508431.871;4281714.0139999995;0.0;2470868.101463034
2019-09;27533421.486166;2435794.602665;2375060.124003;180713.819839;94510.322;108056.101335;1322498.096827;-69.689;21379772.1510649;5205367.577341;528606.698667;4893156.173;0.0;2043082.263762055
2019-08;27721121.022336;1696600.296333;3480620.709204;109017.636998;116446.935;163453.5325;852430.081832;-168.985;21523590.363819;5013741.257497;528955.741333;5575912.899999999;0.0;1497320.966553994
2019-07;29194282.207;2406250.059997;4056379.3527;125948.342498;131603.885;102515.804001;825530.882654;-151.687;23810362.693016;5468185.793995;383928.194;5622527.943000001;0.0;1557354.222838986
2019-06;28560142.913833;1373392.225675;5220546.785387;137447.771168;121158.938;89523.632999;1042609.040664;-81.731;21836129.5825761;5260047.997993;537152.980667;7125611.493;0.0;1785797.522489942
2019-05;31668783.221834;1547233.078334;4853658.558889;203478.765832;111140.295;112338.552664;1135143.866915;-741.623;24178856.249123;5447213.662826;593031.804;7471750.306;0.0;1940182.694519032
2019-04;31756632.938166;1699409.246335;3970913.905622;185823.118501;93858.896;110409.949498;1005637.793166;-764.777;26825776.3599981;5286489.382675;394891.314333;4458631.044000001;0.0;1856132.969281949
2019-03;35497659.047164;1416694.823335;4569148.965117;307387.282835;92471.853;138658.275833;2254432.255003;41333.952999999994;28315217.4984131;5384748.270164;566125.023;6791922.789000001;0.0;3259772.874709947
2019-02;36089868.409333;2912633.343997;4449668.002085;178450.0795;64941.393;119535.619667;1070738.338336;64868.382999999994;31885728.7110909;4958854.614335;440787.820667;5525147.093;0.0;2140185.329825085
2019-01;40157955.925498;4186496.890999;4531821.828058;259199.199168;32864.651;128171.994336;1034653.699166;43730.87199999999;40775101.739198;5322762.229665;520258.783333;1333797.9299999997;0.0;2422974.37802901
2018-12;38890266.086336;2471673.534668;4617916.106592;254627.462334;25731.849;124572.463666;1570298.894996;68004.221;34357174.378051;5084786.02134;656987.719667;5242656.002000001;0.0;2681486.497533971
2018-11;32658276.813835;3724934.498003;3585775.35044;205170.765833;34020.845;118795.655831;1046808.341;75819.66800000002;31525202.923257;5275534.405501;662631.376333;1924161.169;0.0;2062072.063850983
2018-10;31613910.839835;3146439.903332;2686170.441288;206332.381335;63779.655;101781.563;1043095.501667;5093.766999999999;26139468.75903;5534387.583331;683889.605;4580318.917;0.0;1928539.188095988
2018-09;30098993.516666;1628304.101329;2809550.499597;108959.571168;101222.122;140573.278666;754008.207903;47.515;22557680.746302;5394596.337001;598960.984667;5604069.619;0.0;1486351.125358961
2018-08;27294682.993332;2032714.986002;3591479.182064;113741.367001;118020.633;124955.835667;661205.24117;0.0;22510613.948796;5137019.49632;505110.03;4355458.863000001;0.0;1428597.900120029
2018-07;29958812.298334;2180883.970999;4843851.543419;85711.876504;129176.41;133911.653667;534554.836001;-178.827;24229809.001566;5612892.989165;435390.567333;6261843.937;0.0;1326787.266859996
2018-06;28624022.986332;763916.984333;6862233.592693;110032.845331;117252.9069999999;93598.448999;717088.897667;-215.786;22262811.608425;5457154.648336;526570.932667;7600771.579;0.0;1440622.107926974
